,parameter,mean,0.025,0.050,0.500,0.950,0.975
mu_linf,mu_linf,475.698,373.331,386.880,455.428,634.946,686.674
mu_k,mu_k,0.227,0.108,0.125,0.231,0.317,0.335
mu_t0,mu_t0,-0.640,-1.609,-1.404,-0.536,-0.220,-0.168
linf_lineage[1],linf_lineage[1],420.085,349.274,360.997,419.678,480.179,493.861
linf_lineage[2],linf_lineage[2],430.438,373.589,382.011,429.805,480.576,491.727
post_linf_diff,post_linf_diff,-10.353,-99.888,-81.470,-6.302,53.753,70.744
k_lineage[1],k_lineage[1],0.291,0.205,0.217,0.283,0.392,0.422
k_lineage[2],k_lineage[2],0.275,0.208,0.217,0.271,0.348,0.367
post_k_diff,post_k_diff,0.016,-0.091,-0.069,0.007,0.123,0.158
t0_lineage[1],t0_lineage[1],-0.326,-0.618,-0.567,-0.330,-0.073,-0.017
t0_lineage[2],t0_lineage[2],-0.383,-0.617,-0.580,-0.381,-0.194,-0.157
post_t0_diff,post_t0_diff,0.057,-0.271,-0.210,0.038,0.362,0.433
beta_linf[1],beta_linf[1],0.083,-0.050,-0.029,0.080,0.201,0.227
beta_linf[2],beta_linf[2],-0.120,-0.283,-0.257,-0.117,0.008,0.031
beta_k[1],beta_k[1],-0.093,-0.390,-0.340,-0.088,0.136,0.180
beta_k[2],beta_k[2],0.246,-0.060,-0.017,0.238,0.530,0.589
beta_t0[1],beta_t0[1],-0.004,-0.222,-0.188,-0.004,0.181,0.219
beta_t0[2],beta_t0[2],0.009,-0.220,-0.184,0.008,0.204,0.243
