"","parameter","mean","2.5%","5%","50%","95%","97.5%"
"mu_linf","mu_linf",580.809122763714,426.32980174804,449.416821804937,570.944563096226,746.426310148891,791.452370203408
"mu_k","mu_k",0.140124501828396,0.0774437899650757,0.0851609809123072,0.135527604563941,0.210294592967268,0.230061087874819
"mu_t0","mu_t0",-1.70229522106191,-2.57585774685911,-2.42721715511943,-1.69079007014648,-1.01824801780783,-0.887130705344237
"linf_lineage[1]","linf_lineage[1]",586.279218576063,438.196131403794,457.474973531247,572.691636623891,759.569007363431,811.58024994624
"linf_lineage[2]","linf_lineage[2]",574.072946774016,447.231350200195,463.279728258061,563.767763273426,719.690881013845,761.549987088022
"post_linf_diff","post_linf_diff",12.2062718020473,-134.204352868818,-96.2801225875347,2.85235465166107,148.970540766787,200.67421889421
"k_lineage[1]","k_lineage[1]",0.139372927329338,0.075466643021415,0.0836718673783172,0.134715131429337,0.20982231252758,0.230247452627311
"k_lineage[2]","k_lineage[2]",0.145076928904739,0.0825631282424451,0.0908147426293888,0.14061560369493,0.215132778316698,0.233701297786562
"post_k_diff","post_k_diff",-0.00570400157540076,-0.078433770297044,-0.0596071356041684,-0.00232476845302165,0.0389768803767144,0.0577599439939515
"t0_lineage[1]","t0_lineage[1]",-1.71947214271922,-2.71152560245909,-2.52132017671273,-1.69889775506334,-0.987024097303165,-0.853806649945153
"t0_lineage[2]","t0_lineage[2]",-1.65476111201055,-2.59645117930085,-2.4343850999508,-1.64490111999794,-0.907005339967756,-0.754034979595396
"post_t0_diff","post_t0_diff",-0.0647110307086735,-1.04529507349034,-0.789329046797908,-0.0179624460766344,0.544092270140223,0.730633198066091
"beta_linf[1]","beta_linf[1]",0.120666394363792,-0.194345365136149,-0.140146963480935,0.122499464019078,0.372605296368637,0.431420847794719
"beta_linf[2]","beta_linf[2]",-0.223057227160474,-0.499724323109754,-0.457142653822337,-0.229227612848026,0.0369336450107622,0.0923514830337648
"beta_k[1]","beta_k[1]",-0.143072822589501,-0.664517812967403,-0.58358125791216,-0.166848063272448,0.383503786010077,0.497141809375832
"beta_k[2]","beta_k[2]",0.347118063251094,-0.276111410071597,-0.164569341486547,0.369484507093264,0.777556628296914,0.847440119803753
"beta_t0[1]","beta_t0[1]",-0.0987373520913072,-0.908116501193306,-0.77991545056898,-0.117864067472262,0.645332986376297,0.800874539725046
"beta_t0[2]","beta_t0[2]",0.00107863242172161,-0.901563519388858,-0.755513678467015,0.0132709900411022,0.715882867652411,0.838588061230537
